EnclosedPorch,EnclosedPorch_mean
0,193153.64285714287
32,79900.0
34,90350.0
36,159000.0
37,438780.0
39,180750.0
40,170050.0
42,169000.0
44,163500.0
48,91000.0
52,179200.0
54,133000.0
64,140000.0
67,137500.0
68,157500.0
70,180000.0
77,83000.0
80,110150.0
84,126500.0
87,68500.0
91,76000.0
94,86000.0
96,91833.33333333333
98,102776.0
102,118500.0
108,137500.0
112,118998.18181818182
114,225000.0
116,137000.0
120,128125.0
123,155000.0
126,123500.0
128,123250.0
130,115000.0
136,128000.0
137,78000.0
140,100000.0
143,159500.0
144,180500.0
150,126750.0
154,189700.0
156,146000.0
158,141850.0
160,141000.0
162,335000.0
164,98200.0
168,123250.0
169,175000.0
180,158750.0
184,127333.33333333333
189,153000.0
190,125500.0
192,180375.0
194,153900.0
196,139000.0
202,255200.0
205,134650.0
212,163000.0
214,124000.0
216,213333.33333333334
220,133000.0
221,157000.0
224,231500.0
228,125000.0
230,153500.0
236,62383.0
239,135000.0
240,137250.0
244,105950.0
252,131350.0
259,129500.0
264,148500.0
272,140000.0
275,157900.0
280,230000.0
294,130000.0
330,144000.0
