EnclosedPorch,EnclosedPorch_var
0,6542616080.60341
32,
34,
36,
37,
39,7750125000.0
40,1806005000.0
42,
44,
48,
52,
54,
64,
67,
68,
70,
77,
80,710645000.0
84,4500000.0
87,
91,
94,
96,943583333.3333334
98,
102,
108,12500000.0
112,597192036.3636365
114,
116,1152000000.0
120,501062500.0
123,
126,264500000.0
128,351125000.0
130,
136,
137,
140,
143,
144,12640500000.0
150,231125000.0
154,9996980000.0
156,392000000.0
158,123245000.0
160,2592000000.0
162,
164,1776080000.0
168,435125000.0
169,
180,903125000.0
184,561333333.3333333
189,
190,
192,5627229166.666667
194,
196,
202,43689680000.0
205,45125000.0
212,
214,
216,12254333333.333334
220,
221,
224,84500000.0
228,
230,
236,
239,
240,1485125000.0
244,718205000.0
252,11045000.0
259,
264,1404500000.0
272,
275,
280,
294,
330,
