LotFrontage,LotFrontage_mean
21.0,98800.0
24.0,146350.0
30.0,160480.83333333334
32.0,186700.0
34.0,174950.0
35.0,157760.0
36.0,144200.0
37.0,153725.0
38.0,245500.0
39.0,236500.0
40.0,159489.375
41.0,211000.0
42.0,287966.6666666667
43.0,189293.5
44.0,207100.0
45.0,58500.0
46.0,215000.0
47.0,200133.33333333334
48.0,224771.5
49.0,224725.0
50.0,128694.88571428572
51.0,129535.0
52.0,139300.0
53.0,193105.0
54.0,144400.0
55.0,150481.25
56.0,320718.0
57.0,149890.0
58.0,171666.25
59.0,200211.11111111112
60.0,130785.01
61.0,188371.42857142858
62.0,188928.57142857142
63.0,184963.63636363635
64.0,217115.22222222222
65.0,179142.9714285714
66.0,182379.08333333334
67.0,219876.83333333334
68.0,182747.5625
69.0,181583.33333333334
70.0,155527.2857142857
71.0,163730.77777777778
72.0,199425.66666666666
73.0,178904.92857142858
74.0,186107.6923076923
75.0,193293.6739130435
76.0,206987.5
77.0,265141.3333333333
78.0,192476.0
79.0,202479.0909090909
80.0,176528.84615384616
81.0,202420.0
82.0,235831.9
83.0,265005.0
84.0,228275.0
85.0,199300.4814814815
86.0,290978.75
87.0,211375.0
88.0,214705.625
89.0,288125.0
90.0,211932.0625
91.0,242236.0
92.0,210354.66666666666
93.0,262493.8333333333
94.0,236253.66666666666
95.0,221333.33333333334
96.0,297438.0
97.0,451950.0
98.0,258149.125
99.0,219833.33333333334
100.0,200680.0
101.0,165000.0
102.0,226666.66666666666
103.0,274797.0
104.0,485000.0
105.0,295057.0
106.0,230500.0
107.0,368126.6
108.0,322389.3333333333
109.0,129000.0
110.0,286260.0
111.0,342643.0
112.0,145000.0
114.0,282450.0
115.0,152500.0
116.0,225000.0
118.0,415000.0
120.0,164807.5
121.0,214000.0
122.0,206500.0
124.0,177000.0
129.0,258000.0
130.0,173250.0
134.0,234950.0
137.0,190000.0
140.0,141000.0
144.0,223500.0
150.0,375000.0
160.0,745000.0
174.0,403000.0
182.0,259000.0
313.0,160000.0
