Neighborhood,Neighborhood_mean
Blmngtn,197842.5
Blueste,137500.0
BrDale,106627.27272727272
BrkSide,132080.46875
ClearCr,214944.44444444444
CollgCr,199947.03883495147
Crawfor,198863.91428571427
Edwards,136814.54545454544
Gilbert,194773.65789473685
IDOTRR,103953.13636363637
MeadowV,107477.77777777778
Mitchel,162807.75
NAmes,145670.89393939395
NPkVill,144642.85714285713
NWAmes,179490.9090909091
NoRidge,327109.5714285714
NridgHt,313478.93846153846
OldTown,130283.50649350649
SWISU,141722.72727272726
Sawyer,137914.64864864864
SawyerW,194806.02777777778
Somerst,227063.01666666666
StoneBr,304861.21428571426
Timber,250479.68181818182
Veenker,270666.6666666667
