Neighborhood,Neighborhood_var
Blmngtn,1206266029.8333333
Blueste,364500000.0
BrDale,204878181.81818178
BrkSide,1148604303.8054433
ClearCr,4369902777.777777
CollgCr,2434282125.4494567
Crawfor,4274154767.4336133
Edwards,1912935617.845117
Gilbert,1898297961.1500702
IDOTRR,603795328.9805197
MeadowV,773589444.4444444
Mitchel,1203517632.8043478
NAmes,980707049.912329
NPkVill,76642857.14285718
NWAmes,1293448508.5227273
NoRidge,13202611779.95767
NridgHt,8575142628.121154
OldTown,1744608393.884826
SWISU,353360681.8181818
Sawyer,446369189.7342341
SawyerW,2653505413.1706347
Somerst,3657313468.4912434
StoneBr,6513880723.104395
Timber,4509674742.132036
Veenker,5454966666.666666
