YearBuilt,YearBuilt_mean
1880,206250.0
1882,168000.0
1890,142200.0
1892,107500.0
1893,325000.0
1898,106000.0
1900,122355.2
1904,157500.0
1905,163000.0
1906,135000.0
1908,183500.0
1910,130057.71428571429
1912,118500.0
1913,90350.0
1914,120129.0
1915,139875.0
1916,124580.0
1917,129500.0
1918,186316.66666666666
1919,169000.0
1920,122861.11111111111
1921,137326.66666666666
1922,131600.0
1923,153375.0
1924,107166.66666666667
1925,126605.0
1926,128100.0
1927,82666.66666666667
1928,135650.0
1929,126000.0
1930,115760.0
1931,127966.66666666667
1932,239000.0
1934,151600.0
1935,149666.66666666666
1936,136000.0
1937,127990.33333333333
1938,109137.5
1939,122120.0
1940,137227.27272727274
1941,128250.0
1942,146500.0
1945,170833.33333333334
1946,136833.33333333334
1947,129166.66666666667
1948,139775.0
1949,134980.0
1950,143541.66666666666
1951,138266.66666666666
1952,117498.25
1953,134642.85714285713
1954,132829.41176470587
1955,140021.875
1956,144485.7142857143
1957,156278.0
1958,132393.75
1959,164908.33333333334
1960,141610.0
1961,134256.25
1962,151125.0
1963,143700.0
1964,158128.57142857142
1965,151835.16666666666
1966,153372.22222222222
1967,147600.0
1968,157153.84615384616
1969,147717.66666666666
1970,118681.81818181818
1971,126036.36363636363
1972,149223.33333333334
1973,143737.5
1974,173642.85714285713
1975,181166.66666666666
1976,147385.7142857143
1977,156341.17647058822
1978,163916.66666666666
1979,153337.0
1980,147583.33333333334
1981,279500.0
1982,133750.0
1983,225300.0
1984,154125.0
1985,178000.0
1986,233333.33333333334
1987,239000.0
1988,194125.0
1989,281750.0
1990,212440.0
1991,249000.0
1992,183516.66666666666
1993,231900.0
1994,235230.76923076922
1995,281346.1538461539
1996,277290.0
1997,222827.77777777778
1998,216445.2380952381
1999,208145.17647058822
2000,216600.0
2001,214200.0
2002,221527.27272727274
2003,231041.2
2004,223617.54761904763
2005,221178.4
2006,259980.41666666666
2007,260898.15789473685
2008,347807.8947368421
2009,258973.81818181818
2010,394432.0
