YearRemodAdd,YearRemodAdd_mean
1950,123609.74038461539
1951,140000.0
1952,117498.25
1953,132580.0
1954,120277.77777777778
1955,125250.0
1956,130100.0
1957,129352.0
1958,127525.0
1959,142918.18181818182
1960,131258.33333333334
1961,129810.0
1962,149166.66666666666
1963,139744.44444444444
1964,148725.0
1965,141820.8125
1966,148793.75
1967,122000.0
1968,150770.9090909091
1969,146682.375
1970,129423.07692307692
1971,122488.88888888889
1972,133526.92307692306
1973,143300.0
1974,158900.0
1975,178375.0
1976,144457.14285714287
1977,157086.66666666666
1978,154700.0
1979,150668.5
1980,142000.0
1981,187833.33333333334
1982,137500.0
1983,134000.0
1984,181000.0
1985,145900.0
1986,195666.66666666666
1987,240000.0
1988,192375.0
1989,189625.0
1990,192458.88888888888
1991,194700.0
1992,173916.66666666666
1993,195091.27272727274
1994,216291.66666666666
1995,187313.04347826086
1996,237302.08333333334
1997,222895.83333333334
1998,205621.15384615384
1999,207982.63636363635
2000,174367.9655172414
2001,197500.0
2002,204580.76923076922
2003,200269.65384615384
2004,204413.9534883721
2005,215870.58620689655
2006,232441.28358208956
2007,233761.79245283018
2008,293387.36666666664
2009,289178.5882352941
2010,337874.6666666667
