YearRemodAdd,YearRemodAdd_var
1950,1154367611.4368
1951,2000000.0
1952,2073453678.9166667
1953,3473932000.0
1954,206819444.44444448
1955,85083333.33333336
1956,11139999.99999999
1957,680414816.0000001
1958,799196590.9090909
1959,289227636.3636364
1960,802010416.6666667
1961,576758000.0
1962,326466666.6666666
1963,459225277.77777785
1964,617635833.3333334
1965,4484595697.229167
1966,366088883.92857134
1967,463000000.0
1968,1597987309.090909
1969,707508656.5535716
1970,954368589.7435898
1971,800176111.1111112
1972,232036923.076923
1973,2672191428.571429
1974,173550000.0
1975,5230562500.0
1976,973161098.9010987
1977,1158739809.5238097
1978,115825000.0
1979,14241784.5
1980,882928571.4285715
1981,7170083333.333333
1982,500000.0
1983,
1984,2964500000.0
1985,658550000.0000001
1986,1224333333.3333337
1987,11443000000.0
1988,1821229166.6666667
1989,747895833.3333331
1990,4699718211.111111
1991,2170507500.0
1992,1514797878.7878788
1993,3819276437.8181815
1994,4813202651.515152
1995,4802858458.498024
1996,25962948365.036232
1997,3349948390.151515
1998,2878639634.615384
1999,3398022099.5757575
2000,3031386617.17734
2001,1621900000.0000002
2002,3749917415.384615
2003,3164099247.115384
2004,5063682657.807308
2005,4653668379.264369
2006,6693890097.115333
2007,6962429586.436865
2008,11526436044.791954
2009,14447901020.13235
2010,9725724181.333332
